ItemNumber,l_knee_alignment,r_knee_alignment,l_knee_rotation,r_knee_rotation,l_patella_tracking,r_patella_tracking,l_knee_hyperext,r_knee_hyperext,l_q_angle,r_q_angle
143,,,,,,,,,,
144,,,,,,,,,,
145,,,,,,,,,,
146,,,,,,,,,,
147,,,,,,,,,,
148, -0.6,, -0.3,, -0.3,, -0.3,, -0.4,     
149,, -0.6,, -0.3,, -0.3,, -0.3,, -0.4    
150,0.6,,,0.3,,,0.3,,,0.4,                
151,,0.6,,0.3,,0.3,,0.3,,0.4            
152,,,,,,,,,,                             
153,,,,,,,,,,                             
154,0.6,,,0.3,,,0.3,,,0.3,              
155,,0.6,,0.3,,0.3,,0.3,,              
156,-0.6,,-0.3,,-0.3,,-0.3,,-0.3       
157,, -0.6,, -0.3,, -0.3,, -0.3,,-0.3    
158,-0.6,,-0.3,,-0.3,,-0.3,,-0.3        
159,, -0.6,, -0.3,, -0.3,, -0.3,,-0.3
160,-0.3,,-0.3,,-0.2,,-0.2,,-0.3    
161,, -0.3,, -0.3,, -0.2,, -0.2,,-0.3
162,,,,,,,,,,
163,,,,,,,,,,
164,0.6,,,0.3,,,0.2,,,0.3 
165,,0.6,,0.3,,0.2,,0.3,,            
166,0.5,,,0.2,,,0.2,,,0.2              
167,,0.5,,0.2,,0.2,,0.2,,              
168,0.5,,,0.2,,,0.2,,,0.2             
169,,0.5,,0.2,,0.2,,0.2,,             
170,0.4,,,0.2,,,0.1,,,0.2          
171,,0.4,,0.2,,0.1,,0.2,,             
172,-0.4,,-0.2,,-0.2,,-0.2,,-0.2     
173,, -0.4,, -0.2,, -0.2,, -0.2,,-0.2 
174,,,,,,,,,,
175,,,,,,,,,,
176,,,,,,,,,,
177,,,,,,,,,,
178,,,,,,,,,,
179,,,,,,,,,,
180,,,,,,,,,,
181,,,,,,,,,,
182,,,,,,,,,,
183,,,,,,,,,,
184,0.6,,,0.3,,,0.3,,,0.3             
185,,0.6,,0.3,,0.3,,0.3,,          
186,,,,,,,,,,
187,,,,,,,,,,
188,,,,,,,,,,
189,0.6,,,0.3,,,0.3,,,0.4           
190,,0.6,,0.3,,0.3,,0.4,,          
191,-0.6,,-0.3,,-0.3,,-0.3,,-0.4        
192,, -0.6,, -0.3,, -0.3,, -0.3,,-0.4   
193,0.2,,,0.1,,,0.1,,,0.2              
194,,0.2,,0.1,,0.1,,0.2,,             
195,-0.3,,-0.2,,-0.1,,-0.1,,-0.2       
196,, -0.3,, -0.2,, -0.1,, -0.1,,-0.2    
197,0.2,,,0.2,,,,,0.2,, 
198,,0.2,,0.2,,,,,0.2,, 
199,,,,,,,,,,
200,,,,,,,,,,
201,-0.5,,-0.3,,-0.3,,-0.2,,-0.3         
202,, -0.5,, -0.3,, -0.3,, -0.2,,-0.3  
203,0.3,,,0.2,,,0.1,,,0.2  
204,,0.3,,0.2,,0.1,,0.2,,
205,,,,,,,,,,
206,,,,,,,,,,
207,,,,,,,,,,
208,,,,,,,,,,
209,,,,,,,,,,
210,,,,,,,,,,
211,,,,,,,,,,
212,,,,,,,,,,
213,,,,,,,,,,
214,,,,,,,,,,
215,,,,,,,,,,
216,,,,,,,,,,
217,,,,,,,,,,
218,,,,,,,,,,
219,,,,,,,,,,
220,,,,,,,,,,
221,,,,,,,,,,
222,,,,,,,,,,
223,,,,,,,,,,
224,,,,,,,,,,
225,,,,,,,,,,
226,,,,,,,,,,
227,,,,,,,,,,
228,,,,,,,,,,
229,,,,,,,,,,
230,,,,,,,,,,
231,,,,,,,,,,
232,,,,,,,,,,
233,,,,,,,,,,
234,,,,,,,,,,
235,,,,,,,,,,
236,,,,,,,,,,
237,,,,,,,,,,
238,,,,,,,,,,
239,,,,,,,,,,
240,,,,,,,,,,
241,,,,,,,,,,
242,,,,,,,,,,
243,,,,,,,,,,
244,,,,,,,,,,
245,,,,,,,,,,
246,,,,,,,,,,
247,,,,,,,,,,
