Exercise ID,,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Exercise Name,,Trikonasana Right,Trikonasana Left,Parivritta Trikonasana Right,Parivritta Trikonasana Left,Virabhadrasana I Right,Virabhadrasana I Left,Virabhadrasana II Right,Virabhadrasana II Left,Virabhadrasana III Right,Virabhadrasana III Left,Ardha Chandrasana Right,Ardha Chandrasana Left,Parsvakonasana Right,Parsvakonasana Left,Parivritta Parsvakonasana Right,Parivritta Parsvakonasana Left,Parighasana Right,Parighasana Left,Anjaneyasana Right,Anjaneyasana Left
Muscle ID,Muscle Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Masseter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Masseter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Temporalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Temporalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Medial Pterygoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Medial Pterygoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Lateral Pterygoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Lateral Pterygoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Digastric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Digastric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Mylohyoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Mylohyoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Stylohyoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Stylohyoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Sternohyoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Sternohyoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Sternothyroid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
